5.26km/h, 0.00 V, -0.81A , 13:5:27
26.58km/h, 0.06 V, -1.89A , 13:5:49
26.56km/h, 0.06 V, -1.90A , 13:5:50
26.52km/h, 0.07 V, -1.87A , 13:5:50
26.47km/h, 0.07 V, -1.85A , 13:5:50
26.40km/h, 0.06 V, -1.81A , 13:5:50
26.31km/h, 0.04 V, -1.77A , 13:5:50
26.20km/h, 0.04 V, -1.70A , 13:5:50
26.07km/h, 0.04 V, -1.63A , 13:5:50
25.92km/h, 0.05 V, -1.59A , 13:5:50
25.73km/h, 0.04 V, -1.53A , 13:5:50
25.51km/h, 0.03 V, -1.45A , 13:5:50
25.27km/h, 0.03 V, -1.40A , 13:5:50
25.03km/h, 0.02 V, -1.35A , 13:5:50
24.79km/h, 0.01 V, -1.30A , 13:5:50
24.54km/h, 0.01 V, -1.27A , 13:5:50
24.29km/h, 0.01 V, -1.25A , 13:5:50
24.06km/h, 0.01 V, -1.25A , 13:5:50
23.84km/h, 0.02 V, -1.26A , 13:5:50
23.63km/h, 0.01 V, -1.27A , 13:5:50
23.45km/h, 0.01 V, -1.28A , 13:5:50
23.30km/h, 0.01 V, -1.31A , 13:5:50
23.17km/h, 0.02 V, -1.33A , 13:5:51
23.05km/h, 0.02 V, -1.34A , 13:5:51
22.94km/h, 0.02 V, -1.35A , 13:5:51
22.85km/h, 0.03 V, -1.34A , 13:5:51
22.77km/h, 0.03 V, -1.33A , 13:5:51
22.69km/h, 0.03 V, -1.33A , 13:5:51
22.61km/h, 0.02 V, -1.33A , 13:5:51
22.54km/h, 0.03 V, -1.34A , 13:5:51
22.46km/h, 0.03 V, -1.34A , 13:5:51
22.39km/h, 0.04 V, -1.33A , 13:5:51
22.32km/h, 0.04 V, -1.31A , 13:5:51
22.24km/h, 0.04 V, -1.30A , 13:5:51
22.15km/h, 0.04 V, -1.27A , 13:5:51
22.05km/h, 0.04 V, -1.24A , 13:5:51
21.93km/h, 0.04 V, -1.20A , 13:5:51
21.77km/h, 0.04 V, -1.16A , 13:5:51
21.60km/h, 0.04 V, -1.10A , 13:5:51
21.39km/h, 0.03 V, -1.02A , 13:5:52
21.16km/h, 0.04 V, -0.98A , 13:5:52
20.91km/h, 0.03 V, -0.93A , 13:5:52
20.66km/h, 0.02 V, -0.92A , 13:5:52
20.41km/h, 0.02 V, -0.90A , 13:5:52
20.17km/h, 0.02 V, -0.91A , 13:5:52
19.94km/h, 0.01 V, -0.92A , 13:5:52
19.75km/h, 0.01 V, -0.91A , 13:5:52
19.59km/h, 0.02 V, -0.92A , 13:5:52
19.46km/h, 0.02 V, -0.95A , 13:5:52
19.36km/h, 0.02 V, -0.98A , 13:5:52
19.30km/h, 0.04 V, -1.00A , 13:5:52
19.25km/h, 0.05 V, -1.03A , 13:5:52
19.21km/h, 0.05 V, -1.01A , 13:5:52
19.18km/h, 0.05 V, -0.99A , 13:5:52
19.16km/h, 0.05 V, -0.99A , 13:5:52
19.16km/h, 0.05 V, -1.00A , 13:5:53
19.14km/h, 0.05 V, -1.00A , 13:5:53
19.11km/h, 0.05 V, -0.98A , 13:5:53
19.06km/h, 0.05 V, -0.97A , 13:5:53
19.01km/h, 0.05 V, -0.93A , 13:5:53
18.94km/h, 0.02 V, -0.92A , 13:5:53
18.87km/h, 0.01 V, -0.90A , 13:5:53
2.12km/h, 0.00 V, 0.01A , 13:6:2
4.41km/h, 0.01 V, 0.01A , 13:6:2
-0.06km/h, 0.00 V, -0.00A , 13:6:4
-0.06km/h, 0.00 V, 0.00A , 13:6:6
-0.06km/h, 0.02 V, -0.78A , 13:6:7
1.05km/h, 0.08 V, -1.71A , 13:6:7
2.89km/h, 0.08 V, -2.91A , 13:6:7
5.30km/h, 0.08 V, -4.32A , 13:6:7
8.11km/h, 0.09 V, -5.98A , 13:6:7
11.38km/h, 0.10 V, -7.63A , 13:6:7
15.01km/h, 0.11 V, -9.28A , 13:6:7
18.95km/h, 0.12 V, -10.93A , 13:6:7
23.03km/h, 0.12 V, -12.59A , 13:6:7
27.55km/h, 0.12 V, -14.24A , 13:6:7
32.32km/h, 0.12 V, -15.12A , 13:6:7
36.19km/h, 0.05 V, -15.84A , 13:6:7
39.52km/h, 0.07 V, -16.30A , 13:6:7
42.41km/h, 0.06 V, -16.40A , 13:6:7
45.03km/h, 0.06 V, -16.21A , 13:6:7
47.26km/h, 0.06 V, -15.74A , 13:6:7
49.14km/h, 0.06 V, -15.13A , 13:6:7
50.69km/h, 0.08 V, -14.59A , 13:6:7
51.94km/h, 0.09 V, -13.76A , 13:6:7
52.94km/h, 0.10 V, -13.07A , 13:6:7
53.67km/h, 0.10 V, -12.41A , 13:6:8
54.20km/h, 0.12 V, -11.66A , 13:6:8
54.52km/h, 0.11 V, -10.94A , 13:6:8
54.74km/h, 0.12 V, -10.45A , 13:6:8
54.80km/h, 0.12 V, -9.81A , 13:6:8
54.81km/h, 0.12 V, -9.55A , 13:6:8
54.81km/h, 0.12 V, -9.52A , 13:6:8
54.81km/h, 0.11 V, -9.47A , 13:6:8
54.79km/h, 0.10 V, -9.67A , 13:6:8
54.79km/h, 0.08 V, -9.63A , 13:6:8
54.77km/h, 0.08 V, -9.64A , 13:6:8
54.77km/h, 0.08 V, -9.73A , 13:6:8
54.77km/h, 0.08 V, -9.72A , 13:6:8
54.76km/h, 0.08 V, -9.70A , 13:6:8
54.79km/h, 0.08 V, -9.78A , 13:6:8
54.77km/h, 0.07 V, -9.80A , 13:6:8
54.78km/h, 0.08 V, -9.83A , 13:6:8
54.77km/h, 0.08 V, -9.50A , 13:6:8
54.78km/h, 0.08 V, -9.41A , 13:6:8
54.77km/h, 0.09 V, -9.52A , 13:6:8
54.78km/h, 0.09 V, -9.32A , 13:6:8
54.81km/h, 0.09 V, -9.27A , 13:6:8
54.83km/h, 0.09 V, -9.41A , 13:6:8
54.80km/h, 0.09 V, -9.46A , 13:6:8
54.79km/h, 0.09 V, -9.46A , 13:6:8
54.81km/h, 0.09 V, -9.52A , 13:6:8
54.82km/h, 0.08 V, -9.46A , 13:6:8
54.84km/h, 0.08 V, -9.68A , 13:6:9
54.84km/h, 0.08 V, -9.74A , 13:6:9
54.84km/h, 0.07 V, -9.76A , 13:6:9
54.87km/h, 0.07 V, -9.73A , 13:6:9
54.86km/h, 0.06 V, -9.73A , 13:6:9
54.87km/h, 0.07 V, -9.67A , 13:6:9
54.91km/h, 0.07 V, -9.49A , 13:6:9
54.91km/h, 0.08 V, -9.48A , 13:6:9
54.91km/h, 0.08 V, -9.47A , 13:6:9
54.91km/h, 0.08 V, -9.40A , 13:6:9
54.89km/h, 0.08 V, -9.37A , 13:6:9
54.89km/h, 0.08 V, -9.45A , 13:6:9
54.92km/h, 0.09 V, -9.26A , 13:6:9
54.91km/h, 0.09 V, -9.45A , 13:6:9
54.91km/h, 0.10 V, -9.51A , 13:6:9
54.89km/h, 0.10 V, -9.54A , 13:6:9
54.91km/h, 0.10 V, -9.51A , 13:6:9
54.94km/h, 0.10 V, -9.54A , 13:6:9
54.97km/h, 0.11 V, -9.50A , 13:6:9
54.97km/h, 0.12 V, -9.45A , 13:6:9
54.99km/h, 0.11 V, -9.46A , 13:6:9
55.00km/h, 0.11 V, -9.37A , 13:6:9
54.98km/h, 0.11 V, -9.43A , 13:6:9
55.00km/h, 0.11 V, -9.41A , 13:6:9
54.98km/h, 0.11 V, -9.41A , 13:6:9
54.94km/h, 0.11 V, -9.25A , 13:6:9
54.91km/h, 0.10 V, -9.35A , 13:6:9
54.89km/h, 0.09 V, -9.54A , 13:6:10
54.89km/h, 0.08 V, -9.51A , 13:6:10
54.91km/h, 0.08 V, -9.56A , 13:6:10
54.93km/h, 0.08 V, -9.67A , 13:6:10
54.96km/h, 0.08 V, -9.49A , 13:6:10
54.95km/h, 0.08 V, -9.46A , 13:6:10
54.94km/h, 0.09 V, -9.60A , 13:6:10
54.98km/h, 0.08 V, -9.50A , 13:6:10
55.02km/h, 0.08 V, -9.46A , 13:6:10
55.02km/h, 0.10 V, -9.51A , 13:6:10
55.02km/h, 0.10 V, -9.26A , 13:6:10
55.02km/h, 0.10 V, -9.15A , 13:6:10
55.00km/h, 0.09 V, -9.26A , 13:6:10
54.99km/h, 0.08 V, -8.95A , 13:6:10
54.93km/h, 0.09 V, -8.98A , 13:6:10
54.95km/h, 0.08 V, -9.07A , 13:6:10
54.94km/h, 0.08 V, -8.77A , 13:6:10
54.90km/h, 0.08 V, -8.75A , 13:6:10
54.90km/h, 0.08 V, -8.92A , 13:6:10
54.91km/h, 0.08 V, -8.71A , 13:6:10
54.92km/h, 0.08 V, -8.77A , 13:6:10
54.90km/h, 0.08 V, -8.93A , 13:6:10
54.86km/h, 0.08 V, -8.92A , 13:6:10
54.87km/h, 0.09 V, -9.15A , 13:6:10
54.92km/h, 0.08 V, -9.26A , 13:6:10
54.90km/h, 0.08 V, -9.24A , 13:6:10
54.91km/h, 0.08 V, -9.33A , 13:6:11
54.93km/h, 0.08 V, -9.35A , 13:6:11
54.94km/h, 0.09 V, -9.32A , 13:6:11
54.94km/h, 0.09 V, -9.50A , 13:6:11
54.94km/h, 0.10 V, -9.51A , 13:6:11
54.92km/h, 0.09 V, -9.50A , 13:6:11
54.97km/h, 0.09 V, -9.41A , 13:6:11
54.97km/h, 0.09 V, -9.29A , 13:6:11
54.93km/h, 0.10 V, -9.41A , 13:6:11
54.95km/h, 0.10 V, -9.26A , 13:6:11
54.94km/h, 0.10 V, -9.34A , 13:6:11
54.94km/h, 0.11 V, -9.43A , 13:6:11
54.94km/h, 0.10 V, -9.40A , 13:6:11
54.94km/h, 0.09 V, -9.29A , 13:6:11
54.94km/h, 0.08 V, -9.34A , 13:6:11
54.94km/h, 0.11 V, -9.22A , 13:6:11
54.93km/h, 0.11 V, -9.26A , 13:6:11
54.93km/h, 0.10 V, -9.32A , 13:6:11
54.94km/h, 0.10 V, -9.14A , 13:6:11
54.95km/h, 0.10 V, -9.19A , 13:6:11
54.97km/h, 0.11 V, -9.25A , 13:6:11
54.96km/h, 0.11 V, -9.10A , 13:6:11
54.97km/h, 0.10 V, -9.12A , 13:6:11
54.96km/h, 0.10 V, -9.24A , 13:6:11
54.99km/h, 0.09 V, -9.09A , 13:6:11
55.00km/h, 0.08 V, -9.12A , 13:6:11
54.99km/h, 0.08 V, -9.24A , 13:6:12
55.01km/h, 0.10 V, -9.14A , 13:6:12
55.02km/h, 0.08 V, -9.13A , 13:6:12
55.01km/h, 0.09 V, -9.25A , 13:6:12
55.01km/h, 0.08 V, -9.12A , 13:6:12
55.01km/h, 0.08 V, -9.18A , 13:6:12
54.98km/h, 0.10 V, -9.29A , 13:6:12
55.00km/h, 0.09 V, -9.12A , 13:6:12
54.98km/h, 0.12 V, -9.20A , 13:6:12
54.98km/h, 0.11 V, -9.29A , 13:6:12
55.00km/h, 0.11 V, -8.96A , 13:6:12
54.93km/h, 0.10 V, -9.02A , 13:6:12
54.92km/h, 0.12 V, -9.09A , 13:6:12
54.90km/h, 0.11 V, -8.93A , 13:6:12
54.86km/h, 0.11 V, -8.97A , 13:6:12
54.88km/h, 0.10 V, -9.07A , 13:6:12
54.85km/h, 0.09 V, -8.84A , 13:6:12
54.80km/h, 0.10 V, -8.89A , 13:6:12
54.79km/h, 0.08 V, -8.91A , 13:6:12
54.77km/h, 0.08 V, -8.93A , 13:6:12
54.75km/h, 0.08 V, -9.04A , 13:6:12
54.79km/h, 0.08 V, -9.10A , 13:6:12
54.75km/h, 0.06 V, -9.14A , 13:6:12
54.76km/h, 0.06 V, -9.14A , 13:6:12
54.77km/h, 0.07 V, -9.18A , 13:6:12
54.77km/h, 0.07 V, -9.14A , 13:6:12
54.82km/h, 0.07 V, -9.18A , 13:6:13
54.85km/h, 0.07 V, -9.26A , 13:6:13
54.86km/h, 0.08 V, -9.24A , 13:6:13
54.89km/h, 0.08 V, -9.21A , 13:6:13
54.90km/h, 0.08 V, -9.26A , 13:6:13
54.90km/h, 0.08 V, -9.27A , 13:6:13
54.95km/h, 0.08 V, -9.16A , 13:6:13
54.95km/h, 0.08 V, -9.26A , 13:6:13
54.95km/h, 0.08 V, -9.25A , 13:6:13
54.93km/h, 0.07 V, -9.13A , 13:6:13
54.88km/h, 0.06 V, -9.22A , 13:6:13
54.85km/h, 0.07 V, -9.22A , 13:6:13
54.82km/h, 0.05 V, -9.17A , 13:6:13
54.79km/h, 0.06 V, -9.17A , 13:6:13
54.79km/h, 0.05 V, -9.30A , 13:6:13
54.79km/h, 0.05 V, -9.14A , 13:6:13
54.79km/h, 0.05 V, -9.17A , 13:6:13
54.80km/h, 0.05 V, -9.19A , 13:6:13
54.81km/h, 0.05 V, -9.10A , 13:6:13
54.83km/h, 0.06 V, -9.18A , 13:6:13
54.86km/h, 0.07 V, -9.31A , 13:6:13
54.91km/h, 0.07 V, -9.22A , 13:6:13
54.94km/h, 0.08 V, -9.18A , 13:6:13
54.95km/h, 0.08 V, -9.25A , 13:6:13
54.96km/h, 0.08 V, -9.04A , 13:6:13
54.97km/h, 0.08 V, -9.13A , 13:6:13
54.94km/h, 0.09 V, -9.30A , 13:6:14
54.94km/h, 0.08 V, -9.12A , 13:6:14
54.95km/h, 0.08 V, -9.25A , 13:6:14
54.95km/h, 0.08 V, -9.36A , 13:6:14
54.96km/h, 0.08 V, -9.07A , 13:6:14
54.96km/h, 0.08 V, -9.11A , 13:6:14
55.00km/h, 0.09 V, -9.26A , 13:6:14
54.98km/h, 0.09 V, -9.04A , 13:6:14
54.97km/h, 0.09 V, -9.08A , 13:6:14
55.00km/h, 0.15 V, -9.22A , 13:6:14
55.02km/h, 0.14 V, -8.92A , 13:6:14
55.00km/h, 0.14 V, -8.99A , 13:6:14
55.00km/h, 0.14 V, -8.94A , 13:6:14
54.98km/h, 0.15 V, -8.69A , 13:6:14
54.99km/h, 0.14 V, -8.80A , 13:6:14
54.96km/h, 0.13 V, -8.77A , 13:6:14
54.90km/h, 0.12 V, -8.76A , 13:6:14
54.88km/h, 0.13 V, -8.84A , 13:6:14
54.87km/h, 0.13 V, -8.90A , 13:6:14
54.85km/h, 0.09 V, -8.83A , 13:6:14
54.81km/h, 0.08 V, -9.04A , 13:6:14
54.84km/h, 0.08 V, -9.10A , 13:6:14
54.82km/h, 0.09 V, -9.16A , 13:6:14
54.85km/h, 0.08 V, -9.23A , 13:6:14
54.84km/h, 0.09 V, -9.26A , 13:6:14
54.83km/h, 0.09 V, -9.32A , 13:6:14
54.86km/h, 0.09 V, -9.22A , 13:6:15
54.91km/h, 0.08 V, -9.29A , 13:6:15
54.90km/h, 0.09 V, -9.28A , 13:6:15
54.90km/h, 0.08 V, -9.18A , 13:6:15
54.91km/h, 0.08 V, -9.12A , 13:6:15
54.88km/h, 0.11 V, -9.12A , 13:6:15
54.87km/h, 0.10 V, -9.07A , 13:6:15
54.84km/h, 0.11 V, -9.11A , 13:6:15
54.84km/h, 0.11 V, -9.22A , 13:6:15
54.83km/h, 0.11 V, -9.25A , 13:6:15
54.83km/h, 0.10 V, -9.30A , 13:6:15
54.83km/h, 0.10 V, -9.33A , 13:6:15
54.84km/h, 0.09 V, -9.24A , 13:6:15
54.84km/h, 0.10 V, -9.27A , 13:6:15
54.85km/h, 0.10 V, -9.30A , 13:6:15
54.83km/h, 0.08 V, -9.24A , 13:6:15
54.82km/h, 0.08 V, -9.28A , 13:6:15
54.82km/h, 0.09 V, -9.34A , 13:6:15
54.85km/h, 0.08 V, -9.07A , 13:6:15
54.84km/h, 0.08 V, -9.00A , 13:6:15
54.82km/h, 0.09 V, -9.09A , 13:6:15
54.80km/h, 0.09 V, -8.97A , 13:6:15
54.80km/h, 0.09 V, -8.88A , 13:6:15
54.79km/h, 0.10 V, -9.04A , 13:6:15
54.81km/h, 0.09 V, -8.79A , 13:6:15
54.85km/h, 0.09 V, -8.78A , 13:6:15
54.88km/h, 0.09 V, -8.76A , 13:6:16
54.89km/h, 0.07 V, -8.55A , 13:6:16
54.83km/h, 0.08 V, -8.67A , 13:6:16
54.83km/h, 0.08 V, -8.73A , 13:6:16
54.84km/h, 0.14 V, -8.47A , 13:6:16
54.81km/h, 0.13 V, -8.42A , 13:6:16
54.77km/h, 0.13 V, -8.57A , 13:6:16
54.71km/h, 0.12 V, -8.20A , 13:6:16
54.64km/h, 0.13 V, -8.27A , 13:6:16
54.58km/h, 0.12 V, -8.23A , 13:6:16
54.48km/h, 0.11 V, -8.18A , 13:6:16
54.39km/h, 0.12 V, -8.16A , 13:6:16
54.30km/h, 0.12 V, -8.00A , 13:6:16
54.19km/h, 0.12 V, -7.80A , 13:6:16
54.04km/h, 0.06 V, -7.76A , 13:6:16
53.88km/h, 0.07 V, -7.74A , 13:6:16
53.73km/h, 0.07 V, -7.66A , 13:6:16
53.59km/h, 0.06 V, -7.75A , 13:6:16
53.48km/h, 0.07 V, -7.85A , 13:6:16
53.34km/h, 0.08 V, -7.93A , 13:6:16
53.22km/h, 0.09 V, -7.91A , 13:6:16
53.13km/h, 0.09 V, -7.98A , 13:6:16
53.08km/h, 0.08 V, -8.17A , 13:6:16
53.02km/h, 0.08 V, -8.27A , 13:6:16
53.01km/h, 0.08 V, -8.31A , 13:6:16
53.04km/h, 0.08 V, -8.39A , 13:6:16
53.03km/h, 0.10 V, -8.23A , 13:6:17
53.02km/h, 0.10 V, -8.14A , 13:6:17
52.97km/h, 0.08 V, -7.99A , 13:6:17
52.91km/h, 0.08 V, -7.86A , 13:6:17
52.83km/h, 0.08 V, -7.69A , 13:6:17
52.72km/h, 0.08 V, -7.57A , 13:6:17
52.59km/h, 0.08 V, -7.44A , 13:6:17
52.47km/h, 0.09 V, -7.31A , 13:6:17
52.29km/h, 0.09 V, -7.23A , 13:6:17
52.09km/h, 0.08 V, -7.15A , 13:6:17
51.94km/h, 0.08 V, -7.16A , 13:6:17
51.76km/h, 0.08 V, -7.14A , 13:6:17
51.60km/h, 0.08 V, -7.16A , 13:6:17
51.42km/h, 0.07 V, -7.01A , 13:6:17
51.24km/h, 0.06 V, -6.91A , 13:6:17
51.07km/h, 0.07 V, -6.95A , 13:6:17
50.90km/h, 0.07 V, -6.69A , 13:6:17
50.67km/h, 0.05 V, -6.51A , 13:6:17
50.52km/h, 0.06 V, -6.41A , 13:6:17
50.32km/h, 0.07 V, -6.38A , 13:6:17
50.09km/h, 0.05 V, -6.33A , 13:6:17
49.87km/h, 0.05 V, -6.25A , 13:6:17
49.65km/h, 0.06 V, -6.14A , 13:6:17
49.46km/h, 0.08 V, -6.09A , 13:6:17
49.27km/h, 0.08 V, -6.12A , 13:6:17
49.08km/h, 0.07 V, -6.07A , 13:6:18
48.88km/h, 0.06 V, -6.17A , 13:6:18
48.71km/h, 0.07 V, -6.16A , 13:6:18
48.52km/h, 0.06 V, -6.24A , 13:6:18
48.36km/h, 0.06 V, -5.97A , 13:6:18
48.21km/h, 0.06 V, -5.97A , 13:6:18
48.06km/h, 0.08 V, -5.96A , 13:6:18
47.90km/h, 0.07 V, -5.95A , 13:6:18
47.76km/h, 0.07 V, -5.93A , 13:6:18
47.60km/h, 0.07 V, -5.92A , 13:6:18
47.44km/h, 0.07 V, -5.89A , 13:6:18
47.28km/h, 0.08 V, -5.81A , 13:6:18
47.13km/h, 0.07 V, -5.82A , 13:6:18
46.98km/h, 0.07 V, -5.71A , 13:6:18
46.86km/h, 0.07 V, -5.81A , 13:6:18
46.74km/h, 0.08 V, -5.83A , 13:6:18
46.60km/h, 0.08 V, -5.80A , 13:6:18
46.50km/h, 0.09 V, -5.82A , 13:6:18
46.35km/h, 0.09 V, -5.82A , 13:6:18
46.26km/h, 0.09 V, -5.77A , 13:6:18
46.14km/h, 0.15 V, -5.68A , 13:6:18
46.02km/h, 0.15 V, -5.72A , 13:6:18
45.91km/h, 0.15 V, -5.59A , 13:6:18
45.78km/h, 0.15 V, -5.54A , 13:6:18
45.63km/h, 0.15 V, -5.45A , 13:6:18
45.48km/h, 0.15 V, -5.33A , 13:6:19
45.29km/h, 0.13 V, -5.23A , 13:6:19
45.06km/h, 0.13 V, -5.07A , 13:6:19
44.86km/h, 0.12 V, -4.90A , 13:6:19
44.61km/h, 0.12 V, -4.73A , 13:6:19
44.35km/h, 0.06 V, -4.54A , 13:6:19
44.09km/h, 0.05 V, -4.35A , 13:6:19
43.78km/h, 0.05 V, -4.33A , 13:6:19
43.46km/h, 0.05 V, -4.23A , 13:6:19
43.15km/h, 0.04 V, -4.09A , 13:6:19
42.78km/h, 0.03 V, -3.97A , 13:6:19
42.45km/h, 0.02 V, -3.82A , 13:6:19
42.10km/h, 0.02 V, -3.69A , 13:6:19
41.75km/h, 0.02 V, -3.61A , 13:6:19
41.37km/h, 0.01 V, -3.53A , 13:6:19
41.01km/h, 0.01 V, -3.43A , 13:6:19
40.61km/h, -0.00 V, -3.29A , 13:6:19
40.22km/h, -0.00 V, -3.16A , 13:6:19
39.80km/h, -0.00 V, -3.02A , 13:6:19
39.35km/h, -0.00 V, -2.96A , 13:6:19
38.95km/h, 0.01 V, -2.90A , 13:6:19
38.53km/h, 0.01 V, -2.89A , 13:6:19
38.10km/h, 0.02 V, -2.79A , 13:6:19
37.69km/h, 0.02 V, -2.80A , 13:6:20
37.28km/h, 0.02 V, -2.75A , 13:6:20
36.89km/h, 0.02 V, -2.73A , 13:6:20
36.53km/h, 0.02 V, -2.72A , 13:6:20
36.17km/h, 0.02 V, -2.70A , 13:6:20
35.85km/h, 0.02 V, -2.64A , 13:6:20
35.51km/h, 0.02 V, -2.49A , 13:6:20
35.12km/h, 0.02 V, -2.25A , 13:6:20
34.69km/h, 0.02 V, -2.01A , 13:6:20
34.19km/h, 0.01 V, -1.83A , 13:6:20
33.61km/h, 0.01 V, -1.56A , 13:6:20
32.93km/h, 0.01 V, -1.36A , 13:6:20
32.18km/h, 0.01 V, -1.15A , 13:6:20
31.34km/h, 0.01 V, -0.94A , 13:6:20
30.45km/h, 0.01 V, -0.73A , 13:6:20
29.47km/h, 0.02 V, -0.55A , 13:6:20
28.44km/h, 0.02 V, -0.40A , 13:6:20
27.35km/h, 0.02 V, -0.34A , 13:6:20
26.26km/h, 0.03 V, -0.30A , 13:6:20
25.20km/h, 0.03 V, -0.23A , 13:6:21
24.16km/h, 0.03 V, -0.18A , 13:6:21
23.13km/h, 0.03 V, -0.13A , 13:6:21
22.11km/h, 0.03 V, -0.08A , 13:6:21
21.14km/h, 0.03 V, -0.03A , 13:6:21
20.18km/h, 0.02 V, 0.02A , 13:6:21
19.24km/h, 0.02 V, 0.04A , 13:6:21
18.32km/h, 0.02 V, 0.03A , 13:6:21
17.46km/h, 0.02 V, 0.03A , 13:6:21
16.60km/h, 0.01 V, 0.04A , 13:6:21
15.64km/h, 0.01 V, 0.04A , 13:6:21
15.64km/h, 0.01 V, 0.04A , 13:6:22
15.64km/h, 0.01 V, 0.05A , 13:6:23
15.64km/h, 0.01 V, 0.05A , 13:6:25
15.64km/h, 0.01 V, 0.04A , 13:6:26
15.64km/h, 0.02 V, 0.03A , 13:6:28
15.64km/h, 0.02 V, 0.05A , 13:6:29
15.64km/h, 0.02 V, 0.05A , 13:6:30
15.64km/h, 0.02 V, 0.06A , 13:6:32
15.64km/h, 0.02 V, 0.06A , 13:6:33
15.64km/h, 0.02 V, 0.06A , 13:6:35
15.64km/h, 0.02 V, 0.05A , 13:6:36
15.64km/h, 0.02 V, 0.04A , 13:6:38
15.64km/h, 0.02 V, 0.05A , 13:6:39
15.64km/h, 0.02 V, 0.05A , 13:6:40
15.64km/h, 0.01 V, 0.06A , 13:6:42
15.64km/h, 0.01 V, 0.04A , 13:6:43
15.64km/h, -0.00 V, 0.06A , 13:6:45
15.64km/h, -0.00 V, 0.06A , 13:6:46
15.64km/h, 0.01 V, 0.06A , 13:6:47
15.64km/h, 0.01 V, 0.05A , 13:6:49
15.64km/h, 0.01 V, 0.06A , 13:6:50
15.64km/h, 0.01 V, 0.06A , 13:6:52
15.64km/h, 0.01 V, 0.05A , 13:6:53
15.64km/h, 0.01 V, 0.04A , 13:6:54
15.64km/h, 0.01 V, 0.04A , 13:6:56
15.64km/h, 0.01 V, 0.04A , 13:6:57
15.64km/h, 0.01 V, 0.04A , 13:6:59
15.64km/h, 0.01 V, 0.04A , 13:7:0
15.64km/h, -0.00 V, 0.04A , 13:7:2
15.64km/h, -0.00 V, 0.03A , 13:7:3
15.64km/h, -0.00 V, 0.02A , 13:7:4
15.64km/h, -0.00 V, 0.03A , 13:7:6
15.64km/h, -0.00 V, 0.04A , 13:7:7
15.64km/h, 0.01 V, 0.04A , 13:7:9
15.64km/h, 0.01 V, 0.03A , 13:7:10
15.64km/h, 0.01 V, 0.03A , 13:7:11
15.64km/h, 0.01 V, 0.02A , 13:7:13
15.64km/h, 0.01 V, 0.02A , 13:7:14
15.64km/h, 0.01 V, 0.02A , 13:7:16
15.64km/h, 0.01 V, 0.03A , 13:7:17
15.64km/h, 0.01 V, 0.04A , 13:7:18
15.64km/h, 0.01 V, 0.05A , 13:7:20
15.64km/h, 0.01 V, 0.04A , 13:7:21
15.64km/h, -0.00 V, 0.05A , 13:7:23
15.64km/h, -0.00 V, 0.05A , 13:7:24
15.64km/h, -0.00 V, 0.06A , 13:7:26
15.64km/h, -0.00 V, 0.06A , 13:7:27
15.64km/h, -0.00 V, 0.04A , 13:7:28
15.64km/h, -0.00 V, 0.04A , 13:7:30
15.64km/h, -0.00 V, 0.05A , 13:7:31
15.64km/h, -0.00 V, 0.04A , 13:7:33
15.64km/h, -0.00 V, 0.03A , 13:7:34
15.64km/h, -0.00 V, 0.04A , 13:7:35
15.64km/h, -0.00 V, 0.04A , 13:7:37
15.64km/h, -0.00 V, 0.04A , 13:7:38
15.64km/h, -0.00 V, 0.02A , 13:7:40
15.64km/h, -0.00 V, 0.04A , 13:7:41
15.64km/h, -0.00 V, 0.05A , 13:7:42
15.64km/h, -0.00 V, 0.06A , 13:7:44
15.64km/h, -0.00 V, 0.04A , 13:7:45
15.64km/h, -0.00 V, 0.04A , 13:7:47
15.64km/h, -0.00 V, 0.05A , 13:7:48
15.64km/h, -0.00 V, 0.04A , 13:7:50
15.64km/h, -0.00 V, 0.04A , 13:7:51
15.64km/h, -0.00 V, 0.03A , 13:7:52
15.64km/h, -0.00 V, 0.04A , 13:7:54
15.64km/h, -0.00 V, 0.03A , 13:7:55
15.64km/h, -0.00 V, 0.02A , 13:7:57
15.64km/h, -0.00 V, 0.02A , 13:7:58
15.64km/h, -0.00 V, 0.02A , 13:7:59
15.64km/h, -0.00 V, 0.02A , 13:8:1
15.64km/h, -0.00 V, 0.03A , 13:8:2
15.64km/h, -0.00 V, 0.03A , 13:8:4
15.64km/h, -0.00 V, 0.03A , 13:8:5
15.64km/h, -0.00 V, 0.04A , 13:8:6
15.64km/h, -0.00 V, 0.05A , 13:8:8
15.64km/h, 0.01 V, 0.04A , 13:8:9
15.64km/h, 0.02 V, 0.04A , 13:8:11
15.64km/h, 0.02 V, 0.04A , 13:8:12
15.64km/h, 0.02 V, 0.04A , 13:8:14
15.64km/h, 0.02 V, 0.04A , 13:8:15
15.64km/h, 0.02 V, 0.02A , 13:8:16
15.64km/h, 0.02 V, 0.03A , 13:8:18
15.64km/h, 0.02 V, 0.03A , 13:8:19
15.64km/h, 0.03 V, 0.03A , 13:8:21
15.64km/h, 0.03 V, 0.03A , 13:8:22
15.64km/h, 0.02 V, 0.04A , 13:8:23
15.64km/h, 0.02 V, 0.04A , 13:8:25
15.64km/h, 0.02 V, 0.04A , 13:8:26
15.64km/h, 0.02 V, 0.06A , 13:8:28
15.64km/h, 0.02 V, 0.06A , 13:8:29
15.64km/h, 0.02 V, 0.07A , 13:8:30
15.64km/h, 0.02 V, 0.07A , 13:8:32
